Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
732,Random,0.2,85.8,88.82,39.999942779541016,1.2548862445280227,162190.0,89.18,203264.0,
144,Random,0.2,85.75,89.85,39.79302453994751,1.2548862445280227,162190.0,89.18,203264.0,
355,Random,0.2,85.75,89.73,39.44285607337952,1.2548862445280227,162190.0,89.18,203264.0,
380,Random,0.2,85.75,89.33,39.51697373390198,1.2548862445280227,162190.0,89.18,203264.0,
824,Random,0.2,85.75,88.66,39.53405213356018,1.2548862445280227,162190.0,89.18,203264.0,
967,Random,0.2,85.75,89.82,39.59046483039856,1.2548862445280227,162190.0,89.18,203264.0,
602,Random,0.2,85.75,89.59,39.84575915336609,1.2548862445280227,162190.0,89.18,203264.0,
724,Random,0.2,85.75,89.19,40.13909840583801,1.2548862445280227,162190.0,89.18,203264.0,
139,Random,0.2,85.7,88.87,39.898070335388184,1.2548862445280227,162190.0,89.18,203264.0,
514,Random,0.2,85.7,88.66,39.73995757102966,1.2548862445280227,162190.0,89.18,203264.0,
599,Random,0.2,85.7,89.43,39.85911512374878,1.2548862445280227,162190.0,89.18,203264.0,
228,Random,0.2,85.7,89.99,39.73523235321045,1.2548862445280227,162190.0,89.18,203264.0,
295,Random,0.2,85.7,89.53,39.82272481918335,1.2548862445280227,162190.0,89.18,203264.0,
369,Random,0.2,85.7,89.35,39.971290588378906,1.2548862445280227,162190.0,89.18,203264.0,
807,Random,0.2,85.7,89.87,39.99053740501404,1.2548862445280227,162190.0,89.18,203264.0,
834,Random,0.2,85.7,89.54,39.976991415023804,1.2548862445280227,162190.0,89.18,203264.0,
743,Random,0.2,85.7,89.27,39.929662466049194,1.2548862445280227,162190.0,89.18,203264.0,
487,Random,0.2,85.65,89.39,39.82553577423096,1.2548862445280227,162190.0,89.18,203264.0,
327,Random,0.2,85.65,89.05,39.94487524032593,1.2548862445280227,162190.0,89.18,203264.0,
377,Random,0.2,85.65,89.79,39.91665244102478,1.2548862445280227,162190.0,89.18,203264.0,
703,Random,0.2,85.65,89.53,40.12354636192322,1.2548862445280227,162190.0,89.18,203264.0,
777,Random,0.2,85.65,89.33,39.97074556350708,1.2548862445280227,162190.0,89.18,203264.0,
29,Random,0.2,85.6,89.18,39.84982132911682,1.2548862445280227,162190.0,89.18,203264.0,
401,Random,0.2,85.6,89.26,39.94171118736267,1.2548862445280227,162190.0,89.18,203264.0,
168,Random,0.2,85.6,89.2,40.01577854156494,1.2548862445280227,162190.0,89.18,203264.0,
580,Random,0.2,85.6,89.65,40.17249321937561,1.2548862445280227,162190.0,89.18,203264.0,
582,Random,0.2,85.6,89.15,40.0303373336792,1.2548862445280227,162190.0,89.18,203264.0,
847,Random,0.2,85.6,88.87,39.462722063064575,1.2548862445280227,162190.0,89.18,203264.0,
986,Random,0.2,85.6,88.74,39.56856036186218,1.2548862445280227,162190.0,89.18,203264.0,
656,Random,0.2,85.6,89.2,39.711769819259644,1.2548862445280227,162190.0,89.18,203264.0,
745,Random,0.2,85.6,89.73,39.61979007720947,1.2548862445280227,162190.0,89.18,203264.0,
118,Random,0.2,85.55,88.66,40.007208824157715,1.2548862445280227,162190.0,89.18,203264.0,
130,Random,0.2,85.55,89.48,39.84220218658447,1.2548862445280227,162190.0,89.18,203264.0,
538,Random,0.2,85.55,89.68,39.711790800094604,1.2548862445280227,162190.0,89.18,203264.0,
610,Random,0.2,85.55,89.39,39.843297243118286,1.2548862445280227,162190.0,89.18,203264.0,
13,Random,0.2,85.5,89.31,39.941081047058105,1.2548862445280227,162190.0,89.18,203264.0,
60,Random,0.2,85.5,88.97,40.13758301734924,1.2548862445280227,162190.0,89.18,203264.0,
178,Random,0.2,85.5,88.96,39.8321418762207,1.2548862445280227,162190.0,89.18,203264.0,
320,Random,0.2,85.5,88.6,39.719176292419434,1.2548862445280227,162190.0,89.18,203264.0,
400,Random,0.2,85.5,89.52,39.95646047592163,1.2548862445280227,162190.0,89.18,203264.0,
992,Random,0.2,85.5,89.09,40.297420263290405,1.2548862445280227,162190.0,89.18,203264.0,
615,Random,0.2,85.5,89.08,40.3949408531189,1.2548862445280227,162190.0,89.18,203264.0,
621,Random,0.2,85.5,89.56,39.79777240753174,1.2548862445280227,162190.0,89.18,203264.0,
475,Random,0.2,85.45,88.78,39.44208288192749,1.2548862445280227,162190.0,89.18,203264.0,
262,Random,0.2,85.45,89.25,39.485854387283325,1.2548862445280227,162190.0,89.18,203264.0,
399,Random,0.2,85.45,89.54,39.583176374435425,1.2548862445280227,162190.0,89.18,203264.0,
848,Random,0.2,85.45,89.33,39.90938448905945,1.2548862445280227,162190.0,89.18,203264.0,
884,Random,0.2,85.45,89.49,39.83971405029297,1.2548862445280227,162190.0,89.18,203264.0,
938,Random,0.2,85.45,89.32,39.91911602020264,1.2548862445280227,162190.0,89.18,203264.0,
605,Random,0.2,85.45,89.72,40.143399238586426,1.2548862445280227,162190.0,89.18,203264.0,
798,Random,0.2,85.45,89.79,39.92140793800354,1.2548862445280227,162190.0,89.18,203264.0,
21,Random,0.2,85.4,89.58,40.200785875320435,1.2548862445280227,162190.0,89.18,203264.0,
112,Random,0.2,85.4,89.24,39.8287239074707,1.2548862445280227,162190.0,89.18,203264.0,
533,Random,0.2,85.4,89.12,39.33174014091492,1.2548862445280227,162190.0,89.18,203264.0,
299,Random,0.2,85.4,90.04,39.49382472038269,1.2548862445280227,162190.0,89.18,203264.0,
170,Random,0.2,85.35,89.01,39.789592027664185,1.2548862445280227,162190.0,89.18,203264.0,
410,Random,0.2,85.35,89.5,40.146896839141846,1.2548862445280227,162190.0,89.18,203264.0,
461,Random,0.2,85.35,89.78,39.76532769203186,1.2548862445280227,162190.0,89.18,203264.0,
469,Random,0.2,85.35,89.42,39.6679470539093,1.2548862445280227,162190.0,89.18,203264.0,
597,Random,0.2,85.35,89.26,39.478511333465576,1.2548862445280227,162190.0,89.18,203264.0,
216,Random,0.2,85.35,89.87,39.565540075302124,1.2548862445280227,162190.0,89.18,203264.0,
840,Random,0.2,85.35,89.29,40.19771456718445,1.2548862445280227,162190.0,89.18,203264.0,
974,Random,0.2,85.35,89.17,39.8350043296814,1.2548862445280227,162190.0,89.18,203264.0,
997,Random,0.2,85.35,89.14,39.8865327835083,1.2548862445280227,162190.0,89.18,203264.0,
641,Random,0.2,85.35,89.11,39.93153500556946,1.2548862445280227,162190.0,89.18,203264.0,
671,Random,0.2,85.35,89.02,39.70620775222778,1.2548862445280227,162190.0,89.18,203264.0,
681,Random,0.2,85.35,88.97,40.08258843421936,1.2548862445280227,162190.0,89.18,203264.0,
49,Random,0.2,85.3,89.49,39.88683485984802,1.2548862445280227,162190.0,89.18,203264.0,
97,Random,0.2,85.3,89.27,39.79252767562866,1.2548862445280227,162190.0,89.18,203264.0,
196,Random,0.2,85.3,89.04,39.787495136260986,1.2548862445280227,162190.0,89.18,203264.0,
307,Random,0.2,85.3,89.2,39.890427350997925,1.2548862445280227,162190.0,89.18,203264.0,
398,Random,0.2,85.3,88.95,40.125221729278564,1.2548862445280227,162190.0,89.18,203264.0,
982,Random,0.2,85.3,89.81,39.77932405471802,1.2548862445280227,162190.0,89.18,203264.0,
778,Random,0.2,85.3,89.01,39.76552176475525,1.2548862445280227,162190.0,89.18,203264.0,
793,Random,0.2,85.3,89.39,39.84100317955017,1.2548862445280227,162190.0,89.18,203264.0,
553,Random,0.2,85.25,89.87,40.012378454208374,1.2548862445280227,162190.0,89.18,203264.0,
312,Random,0.2,85.25,89.0,40.29226803779602,1.2548862445280227,162190.0,89.18,203264.0,
360,Random,0.2,85.25,88.8,39.8531756401062,1.2548862445280227,162190.0,89.18,203264.0,
805,Random,0.2,85.25,89.09,39.88139748573303,1.2548862445280227,162190.0,89.18,203264.0,
913,Random,0.2,85.25,89.28,39.88442802429199,1.2548862445280227,162190.0,89.18,203264.0,
996,Random,0.2,85.25,89.34,40.000738859176636,1.2548862445280227,162190.0,89.18,203264.0,
27,Random,0.2,85.2,89.42,40.05752396583557,1.2548862445280227,162190.0,89.18,203264.0,
43,Random,0.2,85.2,89.77,39.78144550323486,1.2548862445280227,162190.0,89.18,203264.0,
549,Random,0.2,85.2,89.41,39.83286643028259,1.2548862445280227,162190.0,89.18,203264.0,
560,Random,0.2,85.2,88.93,39.903329372406006,1.2548862445280227,162190.0,89.18,203264.0,
246,Random,0.2,85.2,90.44,39.95360064506531,1.2548862445280227,162190.0,89.18,203264.0,
384,Random,0.2,85.2,89.35,40.04367399215698,1.2548862445280227,162190.0,89.18,203264.0,
874,Random,0.2,85.2,89.66,39.908098220825195,1.2548862445280227,162190.0,89.18,203264.0,
914,Random,0.2,85.2,88.8,39.96628713607788,1.2548862445280227,162190.0,89.18,203264.0,
999,Random,0.2,85.2,89.32,40.10987377166748,1.2548862445280227,162190.0,89.18,203264.0,
800,Random,0.2,85.2,89.51,40.01568055152893,1.2548862445280227,162190.0,89.18,203264.0,
193,Random,0.2,85.15,89.19,39.95349431037903,1.2548862445280227,162190.0,89.18,203264.0,
431,Random,0.2,85.15,89.48,39.86743140220642,1.2548862445280227,162190.0,89.18,203264.0,
488,Random,0.2,85.15,89.63,39.84363889694214,1.2548862445280227,162190.0,89.18,203264.0,
518,Random,0.2,85.15,89.31,39.97710704803467,1.2548862445280227,162190.0,89.18,203264.0,
230,Random,0.2,85.15,89.76,39.972708225250244,1.2548862445280227,162190.0,89.18,203264.0,
