Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,97.96,Random,0.2,97.63,97.97
2,97.96,Random,0.2,97.64,97.97
3,97.96,Random,0.2,97.7,98.1
4,97.96,Random,0.2,97.64,98.1
5,97.96,Random,0.2,97.6,98.01
6,97.96,Random,0.2,97.57,97.97
7,97.96,Random,0.2,97.58,98.2
8,97.96,Random,0.2,97.62,98.02
9,97.96,Random,0.2,97.74,97.93
10,97.96,Random,0.2,97.76,97.99
11,97.96,Random,0.2,97.78,98.04
12,97.96,Random,0.2,97.84,98.12
13,97.96,Random,0.2,97.42,98.19
14,97.96,Random,0.2,97.55,97.96
15,97.96,Random,0.2,97.79,98.21
16,97.96,Random,0.2,97.61,97.95
17,97.96,Random,0.2,97.69,97.98
18,97.96,Random,0.2,97.79,98.0
19,97.96,Random,0.2,97.67,98.15
20,97.96,Random,0.2,97.73,98.0
21,97.96,Random,0.2,97.66,98.1
22,97.96,Random,0.2,97.73,98.13
23,97.96,Random,0.2,97.71,97.96
24,97.96,Random,0.2,97.79,97.92
25,97.96,Random,0.2,97.61,97.95
26,97.96,Random,0.2,97.85,97.88
27,97.96,Random,0.2,97.81,98.0
28,97.96,Random,0.2,97.77,98.1
29,97.96,Random,0.2,97.78,98.12
30,97.96,Random,0.2,97.48,98.12
31,97.96,Random,0.2,97.53,97.97
32,97.96,Random,0.2,97.61,98.15
33,97.96,Random,0.2,97.85,98.15
34,97.96,Random,0.2,97.73,98.03
35,97.96,Random,0.2,97.65,98.07
36,97.96,Random,0.2,97.7,97.84
37,97.96,Random,0.2,97.82,97.96
38,97.96,Random,0.2,97.73,98.11
39,97.96,Random,0.2,97.7,97.97
40,97.96,Random,0.2,97.6,98.02
41,97.96,Random,0.2,97.56,98.14
42,97.96,Random,0.2,97.67,98.07
43,97.96,Random,0.2,97.77,98.14
44,97.96,Random,0.2,97.41,97.9
45,97.96,Random,0.2,97.54,98.23
46,97.96,Random,0.2,97.44,97.94
47,97.96,Random,0.2,97.6,98.06
48,97.96,Random,0.2,97.74,98.08
49,97.96,Random,0.2,97.81,98.02
50,97.96,Random,0.2,97.85,98.12
51,97.96,Random,0.2,97.45,97.92
52,97.96,Random,0.2,97.5,98.09
53,97.96,Random,0.2,97.56,97.95
54,97.96,Random,0.2,97.88,98.06
55,97.96,Random,0.2,97.75,98.22
56,97.96,Random,0.2,97.7,98.1
57,97.96,Random,0.2,97.83,97.92
58,97.96,Random,0.2,97.65,98.07
59,97.96,Random,0.2,97.71,97.95
60,97.96,Random,0.2,97.76,97.99
61,97.96,Random,0.2,97.6,98.07
62,97.96,Random,0.2,97.44,98.1
63,97.96,Random,0.2,97.72,97.97
64,97.96,Random,0.2,97.66,97.9
65,97.96,Random,0.2,97.73,98.06
66,97.96,Random,0.2,97.62,97.86
67,97.96,Random,0.2,97.71,98.07
68,97.96,Random,0.2,97.57,97.72
69,97.96,Random,0.2,97.64,98.02
70,97.96,Random,0.2,97.46,98.05
71,97.96,Random,0.2,97.57,97.9
72,97.96,Random,0.2,97.71,98.0
73,97.96,Random,0.2,97.79,98.11
74,97.96,Random,0.2,97.52,97.99
75,97.96,Random,0.2,97.66,98.07
76,97.96,Random,0.2,97.65,97.98
77,97.96,Random,0.2,97.62,97.96
78,97.96,Random,0.2,97.63,97.88
79,97.96,Random,0.2,97.76,98.12
80,97.96,Random,0.2,97.73,98.07
81,97.96,Random,0.2,97.67,98.03
82,97.96,Random,0.2,97.6,98.16
83,97.96,Random,0.2,97.68,98.06
84,97.96,Random,0.2,97.85,98.05
85,97.96,Random,0.2,97.47,98.02
86,97.96,Random,0.2,97.6,97.97
87,97.96,Random,0.2,97.78,98.08
88,97.96,Random,0.2,97.63,98.03
89,97.96,Random,0.2,97.62,98.01
90,97.96,Random,0.2,97.78,98.18
91,97.96,Random,0.2,97.73,98.15
92,97.96,Random,0.2,97.77,98.02
93,97.96,Random,0.2,97.65,98.0
94,97.96,Random,0.2,97.45,97.89
95,97.96,Random,0.2,97.94,97.87
96,97.96,Random,0.2,97.77,97.92
97,97.96,Random,0.2,97.65,98.13
98,97.96,Random,0.2,97.8,98.03
99,97.96,Random,0.2,97.75,98.02
100,97.96,Random,0.2,97.59,98.02
101,97.96,Random,0.2,97.77,98.0
102,97.96,Random,0.2,97.79,98.12
103,97.96,Random,0.2,97.72,97.95
104,97.96,Random,0.2,97.89,98.09
105,97.96,Random,0.2,97.6,98.07
106,97.96,Random,0.2,97.65,98.1
107,97.96,Random,0.2,97.72,97.95
108,97.96,Random,0.2,97.7,98.04
109,97.96,Random,0.2,97.61,97.91
110,97.96,Random,0.2,97.63,98.0
111,97.96,Random,0.2,97.64,98.06
112,97.96,Random,0.2,97.79,97.97
113,97.96,Random,0.2,97.62,98.09
114,97.96,Random,0.2,97.81,98.12
115,97.96,Random,0.2,97.82,98.17
116,97.96,Random,0.2,97.86,98.14
117,97.96,Random,0.2,97.79,98.1
118,97.96,Random,0.2,97.9,97.96
119,97.96,Random,0.2,97.76,98.09
120,97.96,Random,0.2,97.66,98.25
121,97.96,Random,0.2,97.7,97.94
122,97.96,Random,0.2,97.75,97.99
123,97.96,Random,0.2,97.67,98.08
124,97.96,Random,0.2,97.66,98.0
125,97.96,Random,0.2,97.69,98.06
126,97.96,Random,0.2,97.72,97.96
127,97.96,Random,0.2,97.79,98.13
128,97.96,Random,0.2,97.54,98.11
129,97.96,Random,0.2,97.79,97.96
130,97.96,Random,0.2,97.57,98.07
131,97.96,Random,0.2,97.63,98.19
132,97.96,Random,0.2,97.63,97.94
133,97.96,Random,0.2,97.52,98.03
134,97.96,Random,0.2,97.58,98.12
135,97.96,Random,0.2,97.64,98.12
136,97.96,Random,0.2,97.68,98.13
137,97.96,Random,0.2,97.78,97.78
138,97.96,Random,0.2,97.68,98.04
139,97.96,Random,0.2,97.88,98.17
140,97.96,Random,0.2,97.49,98.01
141,97.96,Random,0.2,97.74,97.94
142,97.96,Random,0.2,97.58,97.98
143,97.96,Random,0.2,97.96,98.02
144,97.96,Random,0.2,97.52,98.01
145,97.96,Random,0.2,97.69,97.97
146,97.96,Random,0.2,97.69,97.97
147,97.96,Random,0.2,97.71,98.07
148,97.96,Random,0.2,97.63,98.23
149,97.96,Random,0.2,97.34,98.19
150,97.96,Random,0.2,97.82,98.04
151,97.96,Random,0.2,97.56,98.13
152,97.96,Random,0.2,97.77,98.04
153,97.96,Random,0.2,97.49,98.04
154,97.96,Random,0.2,97.65,98.13
155,97.96,Random,0.2,97.86,98.02
156,97.96,Random,0.2,97.68,98.05
157,97.96,Random,0.2,97.68,98.07
158,97.96,Random,0.2,97.63,98.08
159,97.96,Random,0.2,97.51,98.03
160,97.96,Random,0.2,97.69,97.98
161,97.96,Random,0.2,97.59,97.98
162,97.96,Random,0.2,97.73,98.02
163,97.96,Random,0.2,97.84,98.09
164,97.96,Random,0.2,97.6,98.01
165,97.96,Random,0.2,97.58,97.81
166,97.96,Random,0.2,97.71,98.06
167,97.96,Random,0.2,97.65,98.13
168,97.96,Random,0.2,97.46,98.03
169,97.96,Random,0.2,97.67,97.93
170,97.96,Random,0.2,97.54,97.84
171,97.96,Random,0.2,97.62,98.16
172,97.96,Random,0.2,97.75,98.12
173,97.96,Random,0.2,97.68,98.12
174,97.96,Random,0.2,97.82,97.94
175,97.96,Random,0.2,97.63,98.07
176,97.96,Random,0.2,97.79,98.03
177,97.96,Random,0.2,97.58,97.95
178,97.96,Random,0.2,97.5,98.22
179,97.96,Random,0.2,97.61,98.15
180,97.96,Random,0.2,97.72,97.91
181,97.96,Random,0.2,97.73,97.94
182,97.96,Random,0.2,97.72,98.1
183,97.96,Random,0.2,97.63,97.93
184,97.96,Random,0.2,97.25,97.91
185,97.96,Random,0.2,97.45,98.11
186,97.96,Random,0.2,97.45,97.97
187,97.96,Random,0.2,97.61,98.12
188,97.96,Random,0.2,97.65,97.98
189,97.96,Random,0.2,97.38,97.85
190,97.96,Random,0.2,97.62,97.92
191,97.96,Random,0.2,97.7,97.96
192,97.96,Random,0.2,97.45,98.14
193,97.96,Random,0.2,97.69,98.07
194,97.96,Random,0.2,97.52,98.11
195,97.96,Random,0.2,97.67,97.79
196,97.96,Random,0.2,97.64,97.91
197,97.96,Random,0.2,97.84,98.08
198,97.96,Random,0.2,97.57,97.98
199,97.96,Random,0.2,97.69,97.98
200,97.96,Random,0.2,97.73,98.01
201,97.96,Random,0.2,97.73,98.14
202,97.96,Random,0.2,97.69,98.0
203,97.96,Random,0.2,97.51,98.02
204,97.96,Random,0.2,97.69,98.09
205,97.96,Random,0.2,97.47,98.07
206,97.96,Random,0.2,97.82,98.18
207,97.96,Random,0.2,97.66,98.0
208,97.96,Random,0.2,97.61,97.73
209,97.96,Random,0.2,97.74,98.05
210,97.96,Random,0.2,97.66,98.0
211,97.96,Random,0.2,97.58,98.0
212,97.96,Random,0.2,97.56,97.94
213,97.96,Random,0.2,97.66,98.11
214,97.96,Random,0.2,97.67,98.1
215,97.96,Random,0.2,97.66,98.05
216,97.96,Random,0.2,97.68,98.05
217,97.96,Random,0.2,97.63,97.95
218,97.96,Random,0.2,97.63,98.11
219,97.96,Random,0.2,97.72,98.14
220,97.96,Random,0.2,97.59,98.1
221,97.96,Random,0.2,97.49,97.96
222,97.96,Random,0.2,97.54,98.06
223,97.96,Random,0.2,97.68,98.02
224,97.96,Random,0.2,97.58,98.05
225,97.96,Random,0.2,97.58,98.04
226,97.96,Random,0.2,97.69,98.24
227,97.96,Random,0.2,97.64,98.0
228,97.96,Random,0.2,97.78,98.1
229,97.96,Random,0.2,97.8,98.1
230,97.96,Random,0.2,97.49,98.0
231,97.96,Random,0.2,97.55,97.94
232,97.96,Random,0.2,97.83,97.98
233,97.96,Random,0.2,97.75,98.21
234,97.96,Random,0.2,97.72,97.98
235,97.96,Random,0.2,97.6,98.03
236,97.96,Random,0.2,97.75,98.12
237,97.96,Random,0.2,97.82,98.06
238,97.96,Random,0.2,97.72,98.08
239,97.96,Random,0.2,97.47,97.95
240,97.96,Random,0.2,97.36,97.89
241,97.96,Random,0.2,97.62,98.04
242,97.96,Random,0.2,97.78,97.92
243,97.96,Random,0.2,97.72,97.87
244,97.96,Random,0.2,97.48,98.1
245,97.96,Random,0.2,97.68,97.97
246,97.96,Random,0.2,97.8,97.89
247,97.96,Random,0.2,97.83,97.96
248,97.96,Random,0.2,97.93,98.01
249,97.96,Random,0.2,97.69,98.1
250,97.96,Random,0.2,97.58,98.13
