Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
1,97.9,Random,0.4,96.96,97.66
2,97.9,Random,0.4,96.93,97.84
3,97.9,Random,0.4,96.91,97.85
4,97.9,Random,0.4,96.49,97.73
5,97.9,Random,0.4,97.35,97.87
6,97.9,Random,0.4,97.35,97.9
7,97.9,Random,0.4,96.93,97.68
8,97.9,Random,0.4,97.21,97.89
9,97.9,Random,0.4,97.28,97.87
10,97.9,Random,0.4,97.35,97.86
11,97.9,Random,0.4,97.07,97.7
12,97.9,Random,0.4,97.19,97.92
13,97.9,Random,0.4,97.13,97.81
14,97.9,Random,0.4,97.22,97.86
15,97.9,Random,0.4,97.35,97.7
16,97.9,Random,0.4,97.12,97.84
17,97.9,Random,0.4,97.21,97.83
18,97.9,Random,0.4,96.83,97.78
19,97.9,Random,0.4,97.43,97.82
20,97.9,Random,0.4,97.37,98.0
21,97.9,Random,0.4,97.14,97.86
22,97.9,Random,0.4,96.45,97.86
23,97.9,Random,0.4,97.15,97.76
24,97.9,Random,0.4,97.06,97.72
25,97.9,Random,0.4,96.89,97.78
26,97.9,Random,0.4,96.84,97.81
27,97.9,Random,0.4,97.21,97.76
28,97.9,Random,0.4,97.43,97.85
29,97.9,Random,0.4,97.16,97.69
30,97.9,Random,0.4,97.34,97.83
31,97.9,Random,0.4,97.16,97.82
32,97.9,Random,0.4,97.0,97.72
33,97.9,Random,0.4,96.76,97.89
34,97.9,Random,0.4,97.59,97.89
35,97.9,Random,0.4,97.22,97.91
36,97.9,Random,0.4,97.01,97.79
37,97.9,Random,0.4,96.98,98.04
38,97.9,Random,0.4,96.94,97.91
39,97.9,Random,0.4,97.62,97.72
40,97.9,Random,0.4,96.91,97.91
41,97.9,Random,0.4,97.41,97.95
42,97.9,Random,0.4,97.25,97.81
43,97.9,Random,0.4,96.79,97.7
44,97.9,Random,0.4,97.08,97.7
45,97.9,Random,0.4,97.16,97.76
46,97.9,Random,0.4,97.37,98.0
47,97.9,Random,0.4,97.05,97.85
48,97.9,Random,0.4,97.04,97.94
49,97.9,Random,0.4,97.15,97.64
50,97.9,Random,0.4,97.31,97.88
51,97.9,Random,0.4,96.71,97.79
52,97.9,Random,0.4,97.39,97.78
53,97.9,Random,0.4,97.1,97.83
54,97.9,Random,0.4,97.41,97.82
55,97.9,Random,0.4,97.35,97.77
56,97.9,Random,0.4,96.88,97.87
57,97.9,Random,0.4,97.34,97.87
58,97.9,Random,0.4,97.09,97.79
59,97.9,Random,0.4,97.17,97.79
60,97.9,Random,0.4,97.27,97.82
61,97.9,Random,0.4,97.05,97.93
62,97.9,Random,0.4,97.13,97.89
63,97.9,Random,0.4,97.26,97.9
64,97.9,Random,0.4,96.98,97.61
65,97.9,Random,0.4,97.18,97.87
66,97.9,Random,0.4,97.41,97.83
67,97.9,Random,0.4,97.25,97.84
68,97.9,Random,0.4,97.28,97.81
69,97.9,Random,0.4,97.18,98.06
70,97.9,Random,0.4,97.15,97.9
71,97.9,Random,0.4,97.07,97.94
72,97.9,Random,0.4,96.98,97.74
73,97.9,Random,0.4,96.59,97.83
74,97.9,Random,0.4,97.26,97.8
75,97.9,Random,0.4,97.02,97.87
76,97.9,Random,0.4,97.08,97.7
77,97.9,Random,0.4,96.21,97.86
78,97.9,Random,0.4,96.55,97.96
79,97.9,Random,0.4,97.18,97.84
80,97.9,Random,0.4,96.97,97.84
81,97.9,Random,0.4,97.09,97.94
82,97.9,Random,0.4,97.14,97.79
83,97.9,Random,0.4,97.15,97.79
84,97.9,Random,0.4,96.86,97.82
85,97.9,Random,0.4,97.06,97.77
86,97.9,Random,0.4,97.47,97.84
87,97.9,Random,0.4,97.13,97.77
88,97.9,Random,0.4,97.12,97.46
89,97.9,Random,0.4,97.12,97.81
90,97.9,Random,0.4,97.26,98.0
91,97.9,Random,0.4,97.42,97.93
92,97.9,Random,0.4,97.16,97.91
93,97.9,Random,0.4,97.59,97.88
94,97.9,Random,0.4,97.32,97.93
95,97.9,Random,0.4,96.64,97.83
96,97.9,Random,0.4,96.44,97.74
97,97.9,Random,0.4,97.31,97.99
98,97.9,Random,0.4,96.81,97.94
99,97.9,Random,0.4,97.11,97.79
100,97.9,Random,0.4,97.14,97.77
101,97.9,Random,0.4,96.96,97.84
102,97.9,Random,0.4,97.35,97.79
103,97.9,Random,0.4,96.81,97.78
104,97.9,Random,0.4,97.38,97.96
105,97.9,Random,0.4,97.1,97.85
106,97.9,Random,0.4,96.97,97.79
107,97.9,Random,0.4,97.1,97.76
108,97.9,Random,0.4,97.26,98.08
109,97.9,Random,0.4,97.36,97.89
110,97.9,Random,0.4,97.33,97.98
111,97.9,Random,0.4,96.91,97.95
112,97.9,Random,0.4,97.1,97.76
113,97.9,Random,0.4,97.26,97.77
114,97.9,Random,0.4,97.27,97.88
115,97.9,Random,0.4,97.22,97.86
116,97.9,Random,0.4,96.65,97.93
117,97.9,Random,0.4,97.22,97.68
118,97.9,Random,0.4,97.29,97.89
