Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
150,97.96,Random,0.3,97.34,98.16
151,97.96,Random,0.3,97.61,98.03
152,97.96,Random,0.3,97.3,97.88
153,97.96,Random,0.3,97.54,97.86
154,97.96,Random,0.3,97.61,97.89
155,97.96,Random,0.3,97.17,97.83
156,97.96,Random,0.3,97.57,97.94
157,97.96,Random,0.3,97.52,97.87
158,97.96,Random,0.3,97.35,97.83
159,97.96,Random,0.3,97.54,98.01
160,97.96,Random,0.3,97.46,97.98
161,97.96,Random,0.3,97.61,98.05
162,97.96,Random,0.3,97.17,97.86
163,97.96,Random,0.3,97.52,98.04
164,97.96,Random,0.3,97.61,97.93
165,97.96,Random,0.3,97.48,97.94
166,97.96,Random,0.3,97.37,97.91
167,97.96,Random,0.3,97.5,98.0
168,97.96,Random,0.3,97.43,98.04
169,97.96,Random,0.3,97.38,98.02
170,97.96,Random,0.3,97.51,97.88
171,97.96,Random,0.3,97.4,97.73
172,97.96,Random,0.3,97.51,98.03
173,97.96,Random,0.3,97.5,97.92
174,97.96,Random,0.3,97.6,97.96
175,97.96,Random,0.3,97.59,98.06
176,97.96,Random,0.3,97.52,97.96
177,97.96,Random,0.3,97.54,97.97
178,97.96,Random,0.3,97.53,97.98
179,97.96,Random,0.3,97.2,97.81
180,97.96,Random,0.3,97.47,97.97
181,97.96,Random,0.3,97.5,98.04
182,97.96,Random,0.3,97.49,97.98
183,97.96,Random,0.3,97.03,97.92
184,97.96,Random,0.3,97.42,97.87
185,97.96,Random,0.3,97.68,97.91
186,97.96,Random,0.3,97.31,97.82
187,97.96,Random,0.3,97.41,98.11
188,97.96,Random,0.3,97.41,97.98
189,97.96,Random,0.3,97.42,98.04
190,97.96,Random,0.3,97.46,97.97
191,97.96,Random,0.3,97.39,98.01
192,97.96,Random,0.3,97.44,98.02
193,97.96,Random,0.3,97.47,97.73
194,97.96,Random,0.3,97.57,97.88
195,97.96,Random,0.3,97.32,97.78
196,97.96,Random,0.3,97.37,97.97
197,97.96,Random,0.3,97.48,97.99
198,97.96,Random,0.3,97.39,97.93
199,97.96,Random,0.3,97.53,97.9
200,97.96,Random,0.3,97.25,97.71
201,97.96,Random,0.3,97.63,97.94
202,97.96,Random,0.3,97.71,97.88
203,97.96,Random,0.3,97.41,97.86
204,97.96,Random,0.3,97.39,98.15
205,97.96,Random,0.3,97.38,97.98
206,97.96,Random,0.3,97.68,97.96
207,97.96,Random,0.3,97.84,98.01
208,97.96,Random,0.3,97.26,97.89
209,97.96,Random,0.3,97.63,97.9
210,97.96,Random,0.3,97.19,97.95
211,97.96,Random,0.3,97.19,97.9
212,97.96,Random,0.3,97.31,98.05
213,97.96,Random,0.3,97.42,97.93
214,97.96,Random,0.3,97.26,97.92
215,97.96,Random,0.3,97.43,97.96
216,97.96,Random,0.3,97.32,98.02
217,97.96,Random,0.3,97.59,98.05
218,97.96,Random,0.3,97.62,97.93
219,97.96,Random,0.3,97.29,97.92
220,97.96,Random,0.3,97.59,97.85
221,97.96,Random,0.3,97.2,97.83
222,97.96,Random,0.3,97.46,97.92
223,97.96,Random,0.3,97.6,98.08
224,97.96,Random,0.3,97.49,98.06
225,97.96,Random,0.3,97.53,97.9
226,97.96,Random,0.3,97.41,98.02
