Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
605,Random,0.4,87.6,88.12,42.57809376716614,1.6731472728020058,121645.0,88.71,203264.0
897,Random,0.4,87.7,88.83,43.462475299835205,1.6731472728020058,121645.0,88.71,203264.0
347,Random,0.4,87.5,88.56,43.893924951553345,1.6731472728020058,121645.0,88.71,203264.0
461,Random,0.4,87.45,88.39,43.70310139656067,1.6731472728020058,121645.0,88.71,203264.0
312,Random,0.4,87.6,88.4,44.15754818916321,1.6731472728020058,121645.0,88.71,203264.0
395,Random,0.4,87.45,88.77,44.57931447029114,1.6731472728020058,121645.0,88.71,203264.0
237,Random,0.4,87.4,88.57,46.71464467048645,1.6731472728020058,121645.0,88.71,203264.0
608,Random,0.4,87.35,88.97,41.251288652420044,1.6731472728020058,121645.0,88.71,203264.0
923,Random,0.4,87.3,88.48,43.30286407470703,1.6731472728020058,121645.0,88.71,203264.0
442,Random,0.4,87.25,88.81,41.784595251083374,1.6731472728020058,121645.0,88.71,203264.0
569,Random,0.4,87.3,88.53,42.836161613464355,1.6731472728020058,121645.0,88.71,203264.0
840,Random,0.4,87.3,88.78,43.20999526977539,1.6731472728020058,121645.0,88.71,203264.0
854,Random,0.4,87.25,88.73,46.144943952560425,1.6731472728020058,121645.0,88.71,203264.0
63,Random,0.4,87.2,89.01,46.075862884521484,1.6731472728020058,121645.0,88.71,203264.0
829,Random,0.4,87.2,89.11,41.14613890647888,1.6731472728020058,121645.0,88.71,203264.0
836,Random,0.4,87.2,88.25,42.95475649833679,1.6731472728020058,121645.0,88.71,203264.0
168,Random,0.4,87.15,89.16,42.136287212371826,1.6731472728020058,121645.0,88.71,203264.0
252,Random,0.4,87.15,88.57,42.529109954833984,1.6731472728020058,121645.0,88.71,203264.0
938,Random,0.4,87.15,89.06,43.1712863445282,1.6731472728020058,121645.0,88.71,203264.0
732,Random,0.4,87.15,88.2,42.935988903045654,1.6731472728020058,121645.0,88.71,203264.0
969,Random,0.4,87.15,88.81,44.21900773048401,1.6731472728020058,121645.0,88.71,203264.0
