Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
104,Random,0.2,89.1,88.18,40.124741077423096,1.2548862445280227,162190.0,88.46,203264.0
895,Random,0.2,89.1,88.99,40.56220245361328,1.2548862445280227,162190.0,88.46,203264.0
375,Random,0.2,89.0,88.86,40.086448192596436,1.2548862445280227,162190.0,88.46,203264.0
505,Random,0.2,88.95,87.82,40.616774797439575,1.2548862445280227,162190.0,88.46,203264.0
953,Random,0.2,89.0,88.65,40.437365770339966,1.2548862445280227,162190.0,88.46,203264.0
927,Random,0.2,88.9,89.03,40.065245628356934,1.2548862445280227,162190.0,88.46,203264.0
397,Random,0.2,89.2,88.65,42.0279655456543,1.2548862445280227,162190.0,88.46,203264.0
829,Random,0.2,89.0,88.94,41.60507011413574,1.2548862445280227,162190.0,88.46,203264.0
30,Random,0.2,88.9,89.1,39.2279212474823,1.2548862445280227,162190.0,88.46,203264.0
374,Random,0.2,88.85,88.54,38.88257932662964,1.2548862445280227,162190.0,88.46,203264.0
271,Random,0.2,88.85,88.3,39.831310749053955,1.2548862445280227,162190.0,88.46,203264.0
891,Random,0.2,88.8,88.89,39.27606964111328,1.2548862445280227,162190.0,88.46,203264.0
22,Random,0.2,88.8,88.93,39.25215792655945,1.2548862445280227,162190.0,88.46,203264.0
549,Random,0.2,88.8,88.85,39.74092888832092,1.2548862445280227,162190.0,88.46,203264.0
771,Random,0.2,88.8,88.75,39.29096984863281,1.2548862445280227,162190.0,88.46,203264.0
818,Random,0.2,88.8,88.96,40.92009425163269,1.2548862445280227,162190.0,88.46,203264.0
966,Random,0.2,88.75,88.69,39.18136548995972,1.2548862445280227,162190.0,88.46,203264.0
142,Random,0.2,88.75,88.57,38.93281269073486,1.2548862445280227,162190.0,88.46,203264.0
487,Random,0.2,88.75,88.71,39.63525176048279,1.2548862445280227,162190.0,88.46,203264.0
628,Random,0.2,88.7,89.1,39.221431493759155,1.2548862445280227,162190.0,88.46,203264.0
885,Random,0.2,88.7,88.44,39.198975563049316,1.2548862445280227,162190.0,88.46,203264.0
525,Random,0.2,88.7,88.4,39.40504574775696,1.2548862445280227,162190.0,88.46,203264.0
159,Random,0.2,88.75,88.3,40.157570362091064,1.2548862445280227,162190.0,88.46,203264.0
752,Random,0.2,88.7,88.18,40.11210250854492,1.2548862445280227,162190.0,88.46,203264.0
801,Random,0.2,88.7,88.43,39.18129277229309,1.2548862445280227,162190.0,88.46,203264.0
