Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
916,Random,0.2,88.65,88.94,74.52217078208923,1.2548862445280227,162190.0,88.71,203264.0
919,Random,0.2,88.65,88.16,74.99609422683716,1.2548862445280227,162190.0,88.71,203264.0
999,Random,0.2,88.65,88.48,70.35232281684875,1.2548862445280227,162190.0,88.71,203264.0
232,Random,0.2,88.65,88.62,73.72803378105164,1.2548862445280227,162190.0,88.71,203264.0
262,Random,0.2,88.65,88.93,75.18384289741516,1.2548862445280227,162190.0,88.71,203264.0
281,Random,0.2,88.65,89.31,77.78201007843018,1.2548862445280227,162190.0,88.71,203264.0
282,Random,0.2,88.65,88.77,68.16295409202576,1.2548862445280227,162190.0,88.71,203264.0
56,Random,0.2,88.65,88.79,69.18796515464783,1.2548862445280227,162190.0,88.71,203264.0
71,Random,0.2,88.65,88.88,67.4634428024292,1.2548862445280227,162190.0,88.71,203264.0
725,Random,0.2,88.65,88.99,62.35512161254883,1.2548862445280227,162190.0,88.71,203264.0
745,Random,0.2,88.65,89.21,61.830519676208496,1.2548862445280227,162190.0,88.71,203264.0
828,Random,0.2,88.65,89.05,72.40597295761108,1.2548862445280227,162190.0,88.71,203264.0
841,Random,0.2,88.65,88.54,60.74004769325256,1.2548862445280227,162190.0,88.71,203264.0
843,Random,0.2,88.65,88.45,56.15056037902832,1.2548862445280227,162190.0,88.71,203264.0
520,Random,0.2,88.6,88.03,57.20978546142578,1.2548862445280227,162190.0,88.71,203264.0
375,Random,0.2,88.6,88.67,57.360376596450806,1.2548862445280227,162190.0,88.71,203264.0
382,Random,0.2,88.6,89.01,55.59782886505127,1.2548862445280227,162190.0,88.71,203264.0
675,Random,0.2,88.6,88.87,58.541449546813965,1.2548862445280227,162190.0,88.71,203264.0
968,Random,0.2,88.6,89.35,61.66612935066223,1.2548862445280227,162190.0,88.71,203264.0
154,Random,0.2,88.6,88.67,65.01192784309387,1.2548862445280227,162190.0,88.71,203264.0
189,Random,0.2,88.6,89.04,63.99690628051758,1.2548862445280227,162190.0,88.71,203264.0
43,Random,0.2,88.6,88.74,63.917373180389404,1.2548862445280227,162190.0,88.71,203264.0
