Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
134,Random,0.2,96.7,97.91,39.88258695602417,1.2548862445280227,162190.0,97.89,203264.0,
353,Random,0.2,96.7,98.09,39.63037371635437,1.2548862445280227,162190.0,97.89,203264.0,
363,Random,0.2,96.7,97.98,39.58538031578064,1.2548862445280227,162190.0,97.89,203264.0,
531,Random,0.2,96.7,97.96,40.178025245666504,1.2548862445280227,162190.0,97.89,203264.0,
766,Random,0.2,96.7,98.09,39.80285882949829,1.2548862445280227,162190.0,97.89,203264.0,
710,Random,0.2,96.7,98.06,40.00937056541443,1.2548862445280227,162190.0,97.89,203264.0,
661,Random,0.2,96.7,98.1,39.857014656066895,1.2548862445280227,162190.0,97.89,203264.0,
795,Random,0.2,96.7,98.08,39.97972345352173,1.2548862445280227,162190.0,97.89,203264.0,
8,Random,0.2,96.65,97.82,39.80957555770874,1.2548862445280227,162190.0,97.89,203264.0,
45,Random,0.2,96.65,98.02,39.570205211639404,1.2548862445280227,162190.0,97.89,203264.0,
876,Random,0.2,96.65,97.82,39.83400630950928,1.2548862445280227,162190.0,97.89,203264.0,
967,Random,0.2,96.65,97.77,40.03937005996704,1.2548862445280227,162190.0,97.89,203264.0,
996,Random,0.2,96.65,97.98,39.891897439956665,1.2548862445280227,162190.0,97.89,203264.0,
141,Random,0.2,96.65,98.01,39.76200747489929,1.2548862445280227,162190.0,97.89,203264.0,
131,Random,0.2,96.65,98.04,39.99686861038208,1.2548862445280227,162190.0,97.89,203264.0,
197,Random,0.2,96.65,97.9,40.077880859375,1.2548862445280227,162190.0,97.89,203264.0,
431,Random,0.2,96.65,97.83,39.86474823951721,1.2548862445280227,162190.0,97.89,203264.0,
283,Random,0.2,96.65,97.93,39.55090951919556,1.2548862445280227,162190.0,97.89,203264.0,
349,Random,0.2,96.65,98.01,39.73563075065613,1.2548862445280227,162190.0,97.89,203264.0,
360,Random,0.2,96.65,97.98,39.977333784103394,1.2548862445280227,162190.0,97.89,203264.0,
542,Random,0.2,96.65,97.9,39.92037653923035,1.2548862445280227,162190.0,97.89,203264.0,
579,Random,0.2,96.65,97.98,39.84294629096985,1.2548862445280227,162190.0,97.89,203264.0,
650,Random,0.2,96.65,98.04,40.07576036453247,1.2548862445280227,162190.0,97.89,203264.0,
970,Random,0.2,96.6,97.91,40.096813440322876,1.2548862445280227,162190.0,97.89,203264.0,
826,Random,0.2,96.65,98.08,40.21884608268738,1.2548862445280227,162190.0,97.89,203264.0,
226,Random,0.2,96.6,97.87,39.672606468200684,1.2548862445280227,162190.0,97.89,203264.0,
241,Random,0.2,96.6,98.08,39.72360682487488,1.2548862445280227,162190.0,97.89,203264.0,
379,Random,0.2,96.6,98.06,40.01678824424744,1.2548862445280227,162190.0,97.89,203264.0,
263,Random,0.2,96.6,97.94,39.965739727020264,1.2548862445280227,162190.0,97.89,203264.0,
